
  Status      Error       Time    Gflop/s   House.mode       m       n    nb    ib  padA

      --         --     0.0359    37.1945            f    1000    1000    96    24     0
      --         --     0.0141    94.3873            f    1000    1000    96    24     0
      --         --     0.0140    95.5051            f    1000    1000    96    24     0

      --         --     0.0240    55.7135            f    1000    1000   104    26     0
      --         --     0.0131   101.8255            f    1000    1000   104    26     0
      --         --     0.0143    93.1447            f    1000    1000   104    26     0

      --         --     0.0217    61.4305            f    1000    1000   112    28     0
      --         --     0.0145    92.3094            f    1000    1000   112    28     0
      --         --     0.0142    94.1005            f    1000    1000   112    28     0

      --         --     0.0199    67.2674            f    1000    1000   120    30     0
      --         --     0.0158    84.4913            f    1000    1000   120    30     0
      --         --     0.0162    82.5733            f    1000    1000   120    30     0

      --         --     0.0187    71.2320            f    1000    1000   128    32     0
      --         --     0.0180    74.0076            f    1000    1000   128    32     0
      --         --     0.0154    86.8909            f    1000    1000   128    32     0

      --         --     0.0198    67.5871            f    1000    1000   136    34     0
      --         --     0.0181    73.8551            f    1000    1000   136    34     0
      --         --     0.0175    76.1432            f    1000    1000   136    34     0

      --         --     0.0195    68.3319            f    1000    1000   144    36     0
      --         --     0.0191    70.0240            f    1000    1000   144    36     0
      --         --     0.0176    75.7903            f    1000    1000   144    36     0

      --         --     0.0199    67.1395            f    1000    1000   152    38     0
      --         --     0.0195    68.4784            f    1000    1000   152    38     0
      --         --     0.0195    68.5462            f    1000    1000   152    38     0

      --         --     0.0208    64.1099            f    1000    1000   160    40     0
      --         --     0.0198    67.5198            f    1000    1000   160    40     0
      --         --     0.0201    66.5746            f    1000    1000   160    40     0

      --         --     0.0236    56.5669            f    1000    1000   168    42     0
      --         --     0.0223    59.7978            f    1000    1000   168    42     0
      --         --     0.0227    58.7951            f    1000    1000   168    42     0

      --         --     0.0195    68.3212            f    1000    1000   176    44     0
      --         --     0.0201    66.4463            f    1000    1000   176    44     0
      --         --     0.0214    62.5360            f    1000    1000   176    44     0

      --         --     0.0243    55.0264            f    1000    1000   184    46     0
      --         --     0.0212    63.0675            f    1000    1000   184    46     0
      --         --     0.0209    64.0042            f    1000    1000   184    46     0

      --         --     0.0259    51.4674            f    1000    1000   192    48     0
      --         --     0.0225    59.2834            f    1000    1000   192    48     0
      --         --     0.0227    58.9407            f    1000    1000   192    48     0

      --         --     0.0208    64.0465            f    1000    1000   200    50     0
      --         --     0.0253    52.8329            f    1000    1000   200    50     0
      --         --     0.0228    58.5081            f    1000    1000   200    50     0

      --         --     0.0248    53.8701            f    1000    1000   208    52     0
      --         --     0.0257    51.9839            f    1000    1000   208    52     0
      --         --     0.0221    60.2950            f    1000    1000   208    52     0

      --         --     0.0280    47.6545            f    1000    1000   216    54     0
      --         --     0.0231    57.7913            f    1000    1000   216    54     0
      --         --     0.0244    54.7971            f    1000    1000   216    54     0

      --         --     0.0268    49.7441            f    1000    1000   224    56     0
      --         --     0.0242    55.0999            f    1000    1000   224    56     0
      --         --     0.0242    55.2701            f    1000    1000   224    56     0

      --         --     0.0325    41.1263            f    1000    1000   232    58     0
      --         --     0.0255    52.3275            f    1000    1000   232    58     0
      --         --     0.0245    54.5762            f    1000    1000   232    58     0

      --         --     0.0269    49.6555            f    1000    1000   240    60     0
      --         --     0.0255    52.4023            f    1000    1000   240    60     0
      --         --     0.0253    52.8008            f    1000    1000   240    60     0

      --         --     0.0299    44.6882            f    1000    1000   248    62     0
      --         --     0.0288    46.4424            f    1000    1000   248    62     0
      --         --     0.0288    46.4435            f    1000    1000   248    62     0

      --         --     0.0316    42.2702            f    1000    1000   256    64     0
      --         --     0.0296    45.0823            f    1000    1000   256    64     0
      --         --     0.0314    42.4738            f    1000    1000   256    64     0

      --         --     0.0308    43.3025            f    1000    1000   264    66     0
      --         --     0.0311    42.9707            f    1000    1000   264    66     0
      --         --     0.0309    43.2765            f    1000    1000   264    66     0

      --         --     0.0311    42.8944            f    1000    1000   272    68     0
      --         --     0.0318    41.9469            f    1000    1000   272    68     0
      --         --     0.0322    41.4638            f    1000    1000   272    68     0

      --         --     0.0322    41.4554            f    1000    1000   280    70     0
      --         --     0.0333    40.0783            f    1000    1000   280    70     0
      --         --     0.0346    38.6372            f    1000    1000   280    70     0

      --         --     0.0309    43.1520            f    1000    1000   288    72     0
      --         --     0.0317    42.1148            f    1000    1000   288    72     0
      --         --     0.0307    43.4828            f    1000    1000   288    72     0

      --         --     0.0331    40.3659            f    1000    1000   296    74     0
      --         --     0.0332    40.1963            f    1000    1000   296    74     0
      --         --     0.0331    40.3822            f    1000    1000   296    74     0

      --         --     0.0346    38.5397            f    1000    1000   304    76     0
      --         --     0.0335    39.8935            f    1000    1000   304    76     0
      --         --     0.0345    38.7613            f    1000    1000   304    76     0

      --         --     0.0360    37.0682            f    1000    1000   312    78     0
      --         --     0.0367    36.3940            f    1000    1000   312    78     0
      --         --     0.0354    37.7740            f    1000    1000   312    78     0

      --         --     0.0391    34.1446            f    1000    1000   320    80     0
      --         --     0.0378    35.2951            f    1000    1000   320    80     0
      --         --     0.0371    35.9869            f    1000    1000   320    80     0

      --         --     0.0399    33.5048            f    1000    1000   328    82     0
      --         --     0.0394    33.8764            f    1000    1000   328    82     0
      --         --     0.0397    33.6718            f    1000    1000   328    82     0

      --         --     0.0395    33.8140            f    1000    1000   336    84     0
      --         --     0.0392    34.0954            f    1000    1000   336    84     0
      --         --     0.0397    33.6288            f    1000    1000   336    84     0

      --         --     0.0399    33.4316            f    1000    1000   344    86     0
      --         --     0.0398    33.5527            f    1000    1000   344    86     0
      --         --     0.0399    33.5051            f    1000    1000   344    86     0

      --         --     0.0405    32.9745            f    1000    1000   352    88     0
      --         --     0.0412    32.4288            f    1000    1000   352    88     0
      --         --     0.0409    32.6757            f    1000    1000   352    88     0

      --         --     0.0428    31.2141            f    1000    1000   360    90     0
      --         --     0.0419    31.8841            f    1000    1000   360    90     0
      --         --     0.0417    31.9891            f    1000    1000   360    90     0

      --         --     0.0430    31.0867            f    1000    1000   368    92     0
      --         --     0.0432    30.8983            f    1000    1000   368    92     0
      --         --     0.0427    31.2821            f    1000    1000   368    92     0

      --         --     0.0444    30.0830            f    1000    1000   376    94     0
      --         --     0.0455    29.3770            f    1000    1000   376    94     0
      --         --     0.0448    29.7779            f    1000    1000   376    94     0

      --         --     0.0445   239.8685            f    2000    2000    96    24     0
      --         --     0.0426   250.3527            f    2000    2000    96    24     0
      --         --     0.0429   248.9098            f    2000    2000    96    24     0

      --         --     0.0474   225.1334            f    2000    2000   104    26     0
      --         --     0.0474   225.2834            f    2000    2000   104    26     0
      --         --     0.0467   228.4568            f    2000    2000   104    26     0

      --         --     0.0455   234.4469            f    2000    2000   112    28     0
      --         --     0.0451   236.8581            f    2000    2000   112    28     0
      --         --     0.0447   239.0718            f    2000    2000   112    28     0

      --         --     0.0448   238.1194            f    2000    2000   120    30     0
      --         --     0.0452   236.3398            f    2000    2000   120    30     0
      --         --     0.0463   230.3306            f    2000    2000   120    30     0

      --         --     0.0419   254.8273            f    2000    2000   128    32     0
      --         --     0.0436   244.9067            f    2000    2000   128    32     0
      --         --     0.0445   239.9422            f    2000    2000   128    32     0

      --         --     0.0459   232.6319            f    2000    2000   136    34     0
      --         --     0.0462   231.0116            f    2000    2000   136    34     0
      --         --     0.0468   228.2309            f    2000    2000   136    34     0

      --         --     0.0453   235.5525            f    2000    2000   144    36     0
      --         --     0.0429   248.9988            f    2000    2000   144    36     0
      --         --     0.0446   239.4237            f    2000    2000   144    36     0

      --         --     0.0468   228.1138            f    2000    2000   152    38     0
      --         --     0.0486   219.7823            f    2000    2000   152    38     0
      --         --     0.0460   231.8794            f    2000    2000   152    38     0

      --         --     0.0474   225.1160            f    2000    2000   160    40     0
      --         --     0.0512   208.6286            f    2000    2000   160    40     0
      --         --     0.0453   235.8307            f    2000    2000   160    40     0

      --         --     0.0533   200.1448            f    2000    2000   168    42     0
      --         --     0.0506   210.8889            f    2000    2000   168    42     0
      --         --     0.0503   212.2941            f    2000    2000   168    42     0

      --         --     0.0525   203.2243            f    2000    2000   176    44     0
      --         --     0.0515   207.2758            f    2000    2000   176    44     0
      --         --     0.0498   214.4987            f    2000    2000   176    44     0

      --         --     0.0549   194.3206            f    2000    2000   184    46     0
      --         --     0.0538   198.2519            f    2000    2000   184    46     0
      --         --     0.0515   207.0826            f    2000    2000   184    46     0

      --         --     0.0564   189.3543            f    2000    2000   192    48     0
      --         --     0.0582   183.3482            f    2000    2000   192    48     0
      --         --     0.0555   192.1926            f    2000    2000   192    48     0

      --         --     0.0648   164.7439            f    2000    2000   200    50     0
      --         --     0.0638   167.3073            f    2000    2000   200    50     0
      --         --     0.0654   163.1293            f    2000    2000   200    50     0

      --         --     0.0590   180.9168            f    2000    2000   208    52     0
      --         --     0.0628   170.0445            f    2000    2000   208    52     0
      --         --     0.0641   166.6314            f    2000    2000   208    52     0

      --         --     0.0682   156.6342            f    2000    2000   216    54     0
      --         --     0.0586   182.0122            f    2000    2000   216    54     0
      --         --     0.0710   150.3070            f    2000    2000   216    54     0

      --         --     0.0765   139.5680            f    2000    2000   224    56     0
      --         --     0.0746   143.1170            f    2000    2000   224    56     0
      --         --     0.0761   140.2329            f    2000    2000   224    56     0

      --         --     0.0809   131.9707            f    2000    2000   232    58     0
      --         --     0.0777   137.4448            f    2000    2000   232    58     0
      --         --     0.0737   144.8911            f    2000    2000   232    58     0

      --         --     0.0781   136.6041            f    2000    2000   240    60     0
      --         --     0.0743   143.7387            f    2000    2000   240    60     0
      --         --     0.0797   133.9151            f    2000    2000   240    60     0

      --         --     0.0813   131.3511            f    2000    2000   248    62     0
      --         --     0.0807   132.2948            f    2000    2000   248    62     0
      --         --     0.0747   142.8447            f    2000    2000   248    62     0

      --         --     0.0855   124.8498            f    2000    2000   256    64     0
      --         --     0.0808   132.1905            f    2000    2000   256    64     0
      --         --     0.0796   134.0261            f    2000    2000   256    64     0

      --         --     0.0786   135.8965            f    2000    2000   264    66     0
      --         --     0.0893   119.5627            f    2000    2000   264    66     0
      --         --     0.0811   131.5524            f    2000    2000   264    66     0

      --         --     0.0898   118.8947            f    2000    2000   272    68     0
      --         --     0.0822   129.8695            f    2000    2000   272    68     0
      --         --     0.0956   111.6899            f    2000    2000   272    68     0

      --         --     0.0974   109.6412            f    2000    2000   280    70     0
      --         --     0.0926   115.2798            f    2000    2000   280    70     0
      --         --     0.0870   122.6519            f    2000    2000   280    70     0

      --         --     0.1012   105.5233            f    2000    2000   288    72     0
      --         --     0.0925   115.4448            f    2000    2000   288    72     0
      --         --     0.0915   116.7202            f    2000    2000   288    72     0

      --         --     0.0994   107.3903            f    2000    2000   296    74     0
      --         --     0.0906   117.8143            f    2000    2000   296    74     0
      --         --     0.1079    98.9301            f    2000    2000   296    74     0

      --         --     0.1101    96.9679            f    2000    2000   304    76     0
      --         --     0.1044   102.2748            f    2000    2000   304    76     0
      --         --     0.0980   108.9056            f    2000    2000   304    76     0

      --         --     0.1136    93.9828            f    2000    2000   312    78     0
      --         --     0.0951   112.2868            f    2000    2000   312    78     0
      --         --     0.1002   106.5614            f    2000    2000   312    78     0

      --         --     0.0988   108.0419            f    2000    2000   320    80     0
      --         --     0.0959   111.3477            f    2000    2000   320    80     0
      --         --     0.0941   113.4196            f    2000    2000   320    80     0

      --         --     0.1145    93.2599            f    2000    2000   328    82     0
      --         --     0.0996   107.1679            f    2000    2000   328    82     0
      --         --     0.1208    88.4003            f    2000    2000   328    82     0

      --         --     0.1019   104.7916            f    2000    2000   336    84     0
      --         --     0.1209    88.3009            f    2000    2000   336    84     0
      --         --     0.1179    90.5225            f    2000    2000   336    84     0

      --         --     0.1245    85.7214            f    2000    2000   344    86     0
      --         --     0.1104    96.6672            f    2000    2000   344    86     0
      --         --     0.1115    95.7152            f    2000    2000   344    86     0

      --         --     0.1362    78.3677            f    2000    2000   352    88     0
      --         --     0.1256    85.0011            f    2000    2000   352    88     0
      --         --     0.1308    81.5891            f    2000    2000   352    88     0

      --         --     0.1325    80.5561            f    2000    2000   360    90     0
      --         --     0.1370    77.9416            f    2000    2000   360    90     0
      --         --     0.1121    95.2479            f    2000    2000   360    90     0

      --         --     0.1258    84.8474            f    2000    2000   368    92     0
      --         --     0.1334    80.0108            f    2000    2000   368    92     0
      --         --     0.1261    84.6694            f    2000    2000   368    92     0

      --         --     0.1228    86.9103            f    2000    2000   376    94     0
      --         --     0.1221    87.4406            f    2000    2000   376    94     0
      --         --     0.1232    86.6360            f    2000    2000   376    94     0

      --         --     0.1267   284.2924            f    3000    3000    96    24     0
      --         --     0.1244   289.5147            f    3000    3000    96    24     0
      --         --     0.1243   289.7967            f    3000    3000    96    24     0

      --         --     0.1251   288.0258            f    3000    3000   104    26     0
      --         --     0.1244   289.4892            f    3000    3000   104    26     0
      --         --     0.1246   288.9682            f    3000    3000   104    26     0

      --         --     0.1232   292.2414            f    3000    3000   112    28     0
      --         --     0.1235   291.7518            f    3000    3000   112    28     0
      --         --     0.1235   291.7344            f    3000    3000   112    28     0

      --         --     0.1267   284.3705            f    3000    3000   120    30     0
      --         --     0.1268   283.9860            f    3000    3000   120    30     0
      --         --     0.1268   283.9974            f    3000    3000   120    30     0

      --         --     0.1202   299.6225            f    3000    3000   128    32     0
      --         --     0.1187   303.4994            f    3000    3000   128    32     0
      --         --     0.1179   305.3781            f    3000    3000   128    32     0

      --         --     0.1249   288.4597            f    3000    3000   136    34     0
      --         --     0.1220   295.2967            f    3000    3000   136    34     0
      --         --     0.1235   291.5317            f    3000    3000   136    34     0

      --         --     0.1149   313.3750            f    3000    3000   144    36     0
      --         --     0.1148   313.6677            f    3000    3000   144    36     0
      --         --     0.1128   319.2813            f    3000    3000   144    36     0

      --         --     0.1169   308.1181            f    3000    3000   152    38     0
      --         --     0.1176   306.3171            f    3000    3000   152    38     0
      --         --     0.1185   303.9741            f    3000    3000   152    38     0

      --         --     0.1191   302.3269            f    3000    3000   160    40     0
      --         --     0.1075   334.9855            f    3000    3000   160    40     0
      --         --     0.1069   336.8497            f    3000    3000   160    40     0

      --         --     0.1112   323.8193            f    3000    3000   168    42     0
      --         --     0.1107   325.4142            f    3000    3000   168    42     0
      --         --     0.1104   326.2278            f    3000    3000   168    42     0

      --         --     0.1090   330.3988            f    3000    3000   176    44     0
      --         --     0.1097   328.4186            f    3000    3000   176    44     0
      --         --     0.1089   330.6212            f    3000    3000   176    44     0

      --         --     0.1136   316.9559            f    3000    3000   184    46     0
      --         --     0.1138   316.4954            f    3000    3000   184    46     0
      --         --     0.1133   317.8380            f    3000    3000   184    46     0

      --         --     0.1103   326.5048            f    3000    3000   192    48     0
      --         --     0.1107   325.3397            f    3000    3000   192    48     0
      --         --     0.1097   328.3515            f    3000    3000   192    48     0

      --         --     0.1139   316.1908            f    3000    3000   200    50     0
      --         --     0.1149   313.6063            f    3000    3000   200    50     0
      --         --     0.1141   315.5560            f    3000    3000   200    50     0

      --         --     0.1134   317.6756            f    3000    3000   208    52     0
      --         --     0.1135   317.2227            f    3000    3000   208    52     0
      --         --     0.1130   318.6749            f    3000    3000   208    52     0

      --         --     0.1171   307.5181            f    3000    3000   216    54     0
      --         --     0.1187   303.4816            f    3000    3000   216    54     0
      --         --     0.1179   305.6074            f    3000    3000   216    54     0

      --         --     0.1169   308.2334            f    3000    3000   224    56     0
      --         --     0.1167   308.6480            f    3000    3000   224    56     0
      --         --     0.1165   309.1346            f    3000    3000   224    56     0

      --         --     0.1203   299.4211            f    3000    3000   232    58     0
      --         --     0.1213   296.9897            f    3000    3000   232    58     0
      --         --     0.1204   299.1714            f    3000    3000   232    58     0

      --         --     0.1203   299.3003            f    3000    3000   240    60     0
      --         --     0.1193   301.9199            f    3000    3000   240    60     0
      --         --     0.1207   298.4551            f    3000    3000   240    60     0

