
  Status      Error       Time    Gflop/s       m       n    nb    ib  padA  mtpf  zerocol

      --         --     0.0409    16.2769    1000    1000   128    16     0     8       -1
      --         --     0.0176    37.7604    1000    1000   128    16     0     8       -1
      --         --     0.0169    39.4673    1000    1000   128    16     0     8       -1

      --         --     0.0163    40.8649    1000    1000   136    16     0     8       -1
      --         --     0.0156    42.8104    1000    1000   136    16     0     8       -1
      --         --     0.0146    45.4754    1000    1000   136    16     0     8       -1

      --         --     0.0157    42.4036    1000    1000   144    16     0     8       -1
      --         --     0.0137    48.7044    1000    1000   144    16     0     8       -1
      --         --     0.0149    44.6340    1000    1000   144    16     0     8       -1

      --         --     0.0142    46.7516    1000    1000   152    16     0     8       -1
      --         --     0.0143    46.6326    1000    1000   152    16     0     8       -1
      --         --     0.0138    48.1623    1000    1000   152    16     0     8       -1

      --         --     0.0181    36.7164    1000    1000   160    16     0     8       -1
      --         --     0.0157    42.4963    1000    1000   160    16     0     8       -1
      --         --     0.0152    43.8828    1000    1000   160    16     0     8       -1

      --         --     0.0143    46.6070    1000    1000   168    16     0     8       -1
      --         --     0.0154    43.3547    1000    1000   168    16     0     8       -1
      --         --     0.0143    46.4388    1000    1000   168    16     0     8       -1

      --         --     0.0147    45.3148    1000    1000   176    16     0     8       -1
      --         --     0.0150    44.3602    1000    1000   176    16     0     8       -1
      --         --     0.0147    45.2901    1000    1000   176    16     0     8       -1

      --         --     0.0178    37.4646    1000    1000   184    16     0     8       -1
      --         --     0.0171    38.9298    1000    1000   184    16     0     8       -1
      --         --     0.0169    39.3444    1000    1000   184    16     0     8       -1

      --         --     0.0191    34.9556    1000    1000   192    16     0     8       -1
      --         --     0.0163    40.7826    1000    1000   192    16     0     8       -1
      --         --     0.0164    40.5549    1000    1000   192    16     0     8       -1

      --         --     0.0178    37.4760    1000    1000   200    16     0     8       -1
      --         --     0.0157    42.4347    1000    1000   200    16     0     8       -1
      --         --     0.0174    38.2548    1000    1000   200    16     0     8       -1

      --         --     0.0196    34.0485    1000    1000   208    16     0     8       -1
      --         --     0.0169    39.4104    1000    1000   208    16     0     8       -1
      --         --     0.0195    34.1402    1000    1000   208    16     0     8       -1

      --         --     0.0184    36.2677    1000    1000   216    16     0     8       -1
      --         --     0.0162    41.2410    1000    1000   216    16     0     8       -1
      --         --     0.0160    41.7081    1000    1000   216    16     0     8       -1

      --         --     0.0199    33.4031    1000    1000   224    16     0     8       -1
      --         --     0.0179    37.2144    1000    1000   224    16     0     8       -1
