
  Status      Error       Time    Gflop/s    uplo       n    nb  padA  zerocol

      --         --     0.0196    17.0714       l    1000    64     0       -1
      --         --     0.0041    81.4022       l    1000    64     0       -1
      --         --     0.0053    62.7386       l    1000    64     0       -1

      --         --     0.0023   142.1666       l    1000    72     0       -1
      --         --     0.0023   144.8882       l    1000    72     0       -1
      --         --     0.0023   146.9408       l    1000    72     0       -1

      --         --     0.0023   144.0238       l    1000    80     0       -1
      --         --     0.0020   164.1307       l    1000    80     0       -1
      --         --     0.0022   151.3238       l    1000    80     0       -1

      --         --     0.0022   154.0543       l    1000    88     0       -1
      --         --     0.0022   151.4711       l    1000    88     0       -1
      --         --     0.0021   157.2374       l    1000    88     0       -1

      --         --     0.0024   141.9936       l    1000    96     0       -1
      --         --     0.0023   145.7782       l    1000    96     0       -1
      --         --     0.0024   141.6346       l    1000    96     0       -1

      --         --     0.0026   129.5881       l    1000   104     0       -1
      --         --     0.0025   136.1002       l    1000   104     0       -1
      --         --     0.0026   127.9071       l    1000   104     0       -1

      --         --     0.0028   120.8735       l    1000   112     0       -1
      --         --     0.0026   130.9087       l    1000   112     0       -1
      --         --     0.0026   126.5888       l    1000   112     0       -1

      --         --     0.0029   117.0050       l    1000   120     0       -1
      --         --     0.0028   118.0806       l    1000   120     0       -1
      --         --     0.0025   131.8455       l    1000   120     0       -1

      --         --     0.0031   106.1803       l    1000   128     0       -1
      --         --     0.0029   116.4407       l    1000   128     0       -1
      --         --     0.0032   105.5798       l    1000   128     0       -1

      --         --     0.0031   108.9480       l    1000   136     0       -1
      --         --     0.0029   115.5185       l    1000   136     0       -1
      --         --     0.0028   117.8817       l    1000   136     0       -1

      --         --     0.0030   111.9891       l    1000   144     0       -1
      --         --     0.0027   125.1295       l    1000   144     0       -1
      --         --     0.0029   114.5638       l    1000   144     0       -1

      --         --     0.0031   106.1481       l    1000   152     0       -1
      --         --     0.0032   105.1122       l    1000   152     0       -1
      --         --     0.0029   115.1574       l    1000   152     0       -1

      --         --     0.0032   104.4847       l    1000   160     0       -1
      --         --     0.0032   103.9032       l    1000   160     0       -1
      --         --     0.0035    95.5181       l    1000   160     0       -1

      --         --     0.0033    99.8573       l    1000   168     0       -1
      --         --     0.0037    89.3326       l    1000   168     0       -1
      --         --     0.0037    90.5399       l    1000   168     0       -1

      --         --     0.0039    86.6889       l    1000   176     0       -1
      --         --     0.0039    85.4249       l    1000   176     0       -1
      --         --     0.0035    94.1690       l    1000   176     0       -1

      --         --     0.0065    51.0295       l    1000   184     0       -1
      --         --     0.0048    68.8905       l    1000   184     0       -1
      --         --     0.0048    70.2241       l    1000   184     0       -1

      --         --     0.0081    41.0519       l    1000   192     0       -1
      --         --     0.0046    73.2437       l    1000   192     0       -1
      --         --     0.0038    87.8749       l    1000   192     0       -1

      --         --     0.0078    42.6513       l    1000   200     0       -1
      --         --     0.0051    65.3688       l    1000   200     0       -1
      --         --     0.0042    79.9429       l    1000   200     0       -1

      --         --     0.0107    31.1439       l    1000   208     0       -1
      --         --     0.0080    41.8182       l    1000   208     0       -1
      --         --     0.0054    61.3101       l    1000   208     0       -1

      --         --     0.0088    37.7769       l    1000   216     0       -1
      --         --     0.0066    50.2765       l    1000   216     0       -1
      --         --     0.0050    66.2753       l    1000   216     0       -1

      --         --     0.0072    46.2432       l    1000   224     0       -1
      --         --     0.0076    43.9720       l    1000   224     0       -1
      --         --     0.0052    64.2352       l    1000   224     0       -1

      --         --     0.0084    39.8044       l    1000   232     0       -1
      --         --     0.0069    48.5439       l    1000   232     0       -1
      --         --     0.0064    52.4891       l    1000   232     0       -1

      --         --     0.0088    38.0355       l    1000   240     0       -1
      --         --     0.0069    48.6704       l    1000   240     0       -1
      --         --     0.0060    55.4095       l    1000   240     0       -1

      --         --     0.0081    41.4138       l    1000   248     0       -1
      --         --     0.0076    44.0425       l    1000   248     0       -1
      --         --     0.0060    56.0326       l    1000   248     0       -1

      --         --     0.0077    43.2654       l    1000   256     0       -1
      --         --     0.0074    45.2655       l    1000   256     0       -1
      --         --     0.0069    48.2013       l    1000   256     0       -1

      --         --     0.0056    59.9683       l    1000   264     0       -1
      --         --     0.0053    63.5126       l    1000   264     0       -1
      --         --     0.0051    64.9986       l    1000   264     0       -1

      --         --     0.0054    62.0628       l    1000   272     0       -1
      --         --     0.0054    62.1786       l    1000   272     0       -1
      --         --     0.0053    62.9162       l    1000   272     0       -1

      --         --     0.0054    61.3423       l    1000   280     0       -1
      --         --     0.0056    59.7304       l    1000   280     0       -1
      --         --     0.0055    60.4237       l    1000   280     0       -1

      --         --     0.0057    58.4634       l    1000   288     0       -1
      --         --     0.0056    59.6769       l    1000   288     0       -1
      --         --     0.0058    57.6665       l    1000   288     0       -1

      --         --     0.0060    55.6098       l    1000   296     0       -1
      --         --     0.0061    54.6547       l    1000   296     0       -1
      --         --     0.0061    54.7273       l    1000   296     0       -1

      --         --     0.0063    53.3369       l    1000   304     0       -1
      --         --     0.0062    53.5429       l    1000   304     0       -1
      --         --     0.0060    55.7227       l    1000   304     0       -1

      --         --     0.0064    51.8458       l    1000   312     0       -1
      --         --     0.0066    50.9034       l    1000   312     0       -1
      --         --     0.0065    51.6450       l    1000   312     0       -1

      --         --     0.0069    48.0887       l    1000   320     0       -1
      --         --     0.0068    49.1074       l    1000   320     0       -1
      --         --     0.0068    49.2023       l    1000   320     0       -1

      --         --     0.0070    47.6145       l    1000   328     0       -1
      --         --     0.0073    45.7059       l    1000   328     0       -1
      --         --     0.0073    45.8120       l    1000   328     0       -1

      --         --     0.0075    44.3466       l    1000   336     0       -1
      --         --     0.0075    44.5285       l    1000   336     0       -1
      --         --     0.0072    46.3274       l    1000   336     0       -1

      --         --     0.0074    45.3829       l    1000   344     0       -1
      --         --     0.0072    46.2371       l    1000   344     0       -1
      --         --     0.0072    46.4442       l    1000   344     0       -1

      --         --     0.0073    45.6492       l    1000   352     0       -1
      --         --     0.0072    46.6578       l    1000   352     0       -1
      --         --     0.0074    45.2275       l    1000   352     0       -1

      --         --     0.0072    46.2616       l    1000   360     0       -1
      --         --     0.0075    44.4762       l    1000   360     0       -1
      --         --     0.0072    46.1229       l    1000   360     0       -1

      --         --     0.0076    43.6852       l    1000   368     0       -1
      --         --     0.0077    43.5928       l    1000   368     0       -1
      --         --     0.0078    42.7346       l    1000   368     0       -1

      --         --     0.0078    42.9206       l    1000   376     0       -1
      --         --     0.0078    42.7007       l    1000   376     0       -1
      --         --     0.0077    43.2815       l    1000   376     0       -1

      --         --     0.0079    42.1138       l    1000   384     0       -1
      --         --     0.0080    41.8657       l    1000   384     0       -1
      --         --     0.0079    42.4354       l    1000   384     0       -1

      --         --     0.0083    40.2935       l    1000   392     0       -1
      --         --     0.0084    39.6904       l    1000   392     0       -1
      --         --     0.0082    40.4694       l    1000   392     0       -1

      --         --     0.0083    40.3469       l    1000   400     0       -1
      --         --     0.0089    37.4005       l    1000   400     0       -1
      --         --     0.0090    37.2334       l    1000   400     0       -1

      --         --     0.0086    38.6731       l    1000   408     0       -1
      --         --     0.0090    37.1415       l    1000   408     0       -1
      --         --     0.0084    39.9463       l    1000   408     0       -1

      --         --     0.0092    36.2549       l    1000   416     0       -1
      --         --     0.0103    32.5529       l    1000   416     0       -1
      --         --     0.0093    36.0087       l    1000   416     0       -1

      --         --     0.0104    32.2233       l    1000   424     0       -1
      --         --     0.0100    33.2636       l    1000   424     0       -1
      --         --     0.0094    35.3827       l    1000   424     0       -1

      --         --     0.0095    35.0523       l    1000   432     0       -1
      --         --     0.0100    33.5112       l    1000   432     0       -1
      --         --     0.0106    31.4171       l    1000   432     0       -1

      --         --     0.0104    32.1301       l    1000   440     0       -1
      --         --     0.0106    31.5588       l    1000   440     0       -1
      --         --     0.0107    31.2085       l    1000   440     0       -1

      --         --     0.0104    32.2137       l    1000   448     0       -1
      --         --     0.0105    31.8756       l    1000   448     0       -1
      --         --     0.0108    31.0080       l    1000   448     0       -1

      --         --     0.0120    27.8935       l    1000   456     0       -1
      --         --     0.0110    30.3290       l    1000   456     0       -1
      --         --     0.0108    30.8734       l    1000   456     0       -1

      --         --     0.0116    28.8683       l    1000   464     0       -1
      --         --     0.0108    30.9218       l    1000   464     0       -1
      --         --     0.0108    30.9703       l    1000   464     0       -1

      --         --     0.0112    29.7750       l    1000   472     0       -1
      --         --     0.0115    28.9884       l    1000   472     0       -1
      --         --     0.0110    30.4345       l    1000   472     0       -1

      --         --     0.0122    27.3926       l    1000   480     0       -1
      --         --     0.0118    28.2361       l    1000   480     0       -1
      --         --     0.0117    28.6304       l    1000   480     0       -1

      --         --     0.0124    27.0027       l    1000   488     0       -1
      --         --     0.0126    26.4233       l    1000   488     0       -1
      --         --     0.0119    28.0770       l    1000   488     0       -1

      --         --     0.0123    27.0424       l    1000   496     0       -1
      --         --     0.0121    27.4964       l    1000   496     0       -1
      --         --     0.0119    28.0888       l    1000   496     0       -1

      --         --     0.0125    26.6193       l    1000   504     0       -1
      --         --     0.0117    28.6310       l    1000   504     0       -1
      --         --     0.0116    28.7214       l    1000   504     0       -1

      --         --     0.0136    24.5645       l    1000   512     0       -1
