n,untuned,tuned
1000,61.1285,95.6985
2000,362.6647,467.8555
3000,655.6768,697.6152
4000,652.2578,742.7859
5000,507.5749,897.8157
6000,935.9427,956.8583
7000,972.4158,980.3642
8000,949.5489,994.6764
9000,975.2064,1090.1761
10000,993.2687,1080.3672
11000,1024.5083,1087.737
12000,1020.9036,1058.9554
13000,1028.8149,1077.0074
14000,1028.037,1068.3151
15000,1034.399,1103.9033
16000,1064.7312,1114.9343
17000,1069.0633,1084.2984
18000,1076.7464,1099.0385
19000,1075.5509,1176.8922
20000,1061.7572,1154.1736
