
  Status      Error       Time    Gflop/s   House.mode       m       n    nb    ib  padA

      --         --     0.0424    31.5036            f    1000    1000    96    24     0
      --         --     0.0114   117.5745            f    1000    1000    96    24     0
      --         --     0.0101   132.5864            f    1000    1000    96    24     0

      --         --     0.0255    52.4567            f    1000    1000   104    26     0
      --         --     0.0102   130.9419            f    1000    1000   104    26     0
      --         --     0.0125   106.4130            f    1000    1000   104    26     0

      --         --     0.0158    84.4694            f    1000    1000   112    28     0
      --         --     0.0123   108.8947            f    1000    1000   112    28     0
      --         --     0.0107   124.4464            f    1000    1000   112    28     0

      --         --     0.0182    73.3227            f    1000    1000   120    30     0
      --         --     0.0123   108.2853            f    1000    1000   120    30     0
      --         --     0.0129   103.3282            f    1000    1000   120    30     0

      --         --     0.0172    77.8227            f    1000    1000   128    32     0
      --         --     0.0137    97.7576            f    1000    1000   128    32     0
      --         --     0.0122   109.5083            f    1000    1000   128    32     0

      --         --     0.0215    62.1793            f    1000    1000   136    34     0
      --         --     0.0142    93.7624            f    1000    1000   136    34     0
      --         --     0.0156    85.4033            f    1000    1000   136    34     0

      --         --     0.0171    77.9874            f    1000    1000   144    36     0
      --         --     0.0166    80.6376            f    1000    1000   144    36     0
      --         --     0.0140    95.7031            f    1000    1000   144    36     0

      --         --     0.0189    70.7667            f    1000    1000   152    38     0
      --         --     0.0163    82.1537            f    1000    1000   152    38     0
      --         --     0.0168    79.3520            f    1000    1000   152    38     0

      --         --     0.0180    74.0586            f    1000    1000   160    40     0
      --         --     0.0173    77.0671            f    1000    1000   160    40     0
      --         --     0.0137    97.1999            f    1000    1000   160    40     0

      --         --     0.0193    69.2172            f    1000    1000   168    42     0
      --         --     0.0173    77.1276            f    1000    1000   168    42     0
      --         --     0.0176    75.6777            f    1000    1000   168    42     0

      --         --     0.0189    70.6661            f    1000    1000   176    44     0
      --         --     0.0186    71.6308            f    1000    1000   176    44     0
      --         --     0.0150    89.2763            f    1000    1000   176    44     0

      --         --     0.0226    58.9594            f    1000    1000   184    46     0
      --         --     0.0185    72.2095            f    1000    1000   184    46     0
      --         --     0.0143    93.0853            f    1000    1000   184    46     0

      --         --     0.0196    68.0304            f    1000    1000   192    48     0
      --         --     0.0183    73.0243            f    1000    1000   192    48     0
      --         --     0.0155    86.4133            f    1000    1000   192    48     0

      --         --     0.0167    79.7478            f    1000    1000   200    50     0
      --         --     0.0192    69.4920            f    1000    1000   200    50     0
      --         --     0.0149    89.8852            f    1000    1000   200    50     0

      --         --     0.0190    70.1739            f    1000    1000   208    52     0
      --         --     0.0175    76.3786            f    1000    1000   208    52     0
      --         --     0.0166    80.6337            f    1000    1000   208    52     0

      --         --     0.0189    70.7824            f    1000    1000   216    54     0
      --         --     0.0213    62.6030            f    1000    1000   216    54     0
      --         --     0.0175    76.3859            f    1000    1000   216    54     0

      --         --     0.0189    70.5475            f    1000    1000   224    56     0
      --         --     0.0177    75.3972            f    1000    1000   224    56     0
      --         --     0.0165    80.7367            f    1000    1000   224    56     0

      --         --     0.0181    73.8631            f    1000    1000   232    58     0
      --         --     0.0189    70.4949            f    1000    1000   232    58     0
      --         --     0.0168    79.6053            f    1000    1000   232    58     0

      --         --     0.0183    73.1230            f    1000    1000   240    60     0
      --         --     0.0170    78.7235            f    1000    1000   240    60     0
      --         --     0.0180    74.1267            f    1000    1000   240    60     0

      --         --     0.0213    62.5741            f    1000    1000   248    62     0
      --         --     0.0209    63.8518            f    1000    1000   248    62     0
      --         --     0.0207    64.6300            f    1000    1000   248    62     0

      --         --     0.0203    65.7951            f    1000    1000   256    64     0
      --         --     0.0200    66.7396            f    1000    1000   256    64     0
      --         --     0.0196    68.1934            f    1000    1000   256    64     0

      --         --     0.0208    64.2742            f    1000    1000   264    66     0
      --         --     0.0190    70.2138            f    1000    1000   264    66     0
      --         --     0.0198    67.4263            f    1000    1000   264    66     0

