
  Status      Error       Time    Gflop/s       m       n    nb    ib  padA  mtpf  zerocol

      --         --     0.0391    17.0291    1000    1000   128    16     0     8       -1
      --         --     0.0131    50.9968    1000    1000   128    16     0     8       -1
      --         --     0.0131    50.7434    1000    1000   128    16     0     8       -1

      --         --     0.0141    47.0961    1000    1000   136    16     0     8       -1
      --         --     0.0110    60.7220    1000    1000   136    16     0     8       -1
      --         --     0.0122    54.7736    1000    1000   136    16     0     8       -1

      --         --     0.0111    59.8832    1000    1000   144    16     0     8       -1
      --         --     0.0116    57.5325    1000    1000   144    16     0     8       -1
      --         --     0.0103    64.4720    1000    1000   144    16     0     8       -1

      --         --     0.0115    58.1554    1000    1000   152    16     0     8       -1
      --         --     0.0117    56.7563    1000    1000   152    16     0     8       -1
      --         --     0.0119    55.7988    1000    1000   152    16     0     8       -1

      --         --     0.0124    53.5290    1000    1000   160    16     0     8       -1
      --         --     0.0129    51.5711    1000    1000   160    16     0     8       -1
      --         --     0.0120    55.5272    1000    1000   160    16     0     8       -1

      --         --     0.0128    51.9709    1000    1000   168    16     0     8       -1
      --         --     0.0115    58.1482    1000    1000   168    16     0     8       -1
      --         --     0.0131    50.8670    1000    1000   168    16     0     8       -1

      --         --     0.0113    59.1788    1000    1000   176    16     0     8       -1
      --         --     0.0129    51.5152    1000    1000   176    16     0     8       -1
      --         --     0.0121    54.9534    1000    1000   176    16     0     8       -1

      --         --     0.0135    49.3550    1000    1000   184    16     0     8       -1
      --         --     0.0116    57.5427    1000    1000   184    16     0     8       -1
      --         --     0.0131    50.8581    1000    1000   184    16     0     8       -1

      --         --     0.0141    47.1008    1000    1000   192    16     0     8       -1
      --         --     0.0137    48.4996    1000    1000   192    16     0     8       -1
      --         --     0.0120    55.3822    1000    1000   192    16     0     8       -1

      --         --     0.0135    49.2748    1000    1000   200    16     0     8       -1
      --         --     0.0129    51.7183    1000    1000   200    16     0     8       -1
      --         --     0.0153    43.6425    1000    1000   200    16     0     8       -1

      --         --     0.0125    53.3647    1000    1000   208    16     0     8       -1
      --         --     0.0123    54.0111    1000    1000   208    16     0     8       -1
      --         --     0.0119    55.7701    1000    1000   208    16     0     8       -1

      --         --     0.0148    45.0551    1000    1000   216    16     0     8       -1
      --         --     0.0134    49.6163    1000    1000   216    16     0     8       -1
      --         --     0.0168    39.7146    1000    1000   216    16     0     8       -1

      --         --     0.0137    48.4732    1000    1000   224    16     0     8       -1
      --         --     0.0140    47.4739    1000    1000   224    16     0     8       -1
      --         --     0.0140    47.5105    1000    1000   224    16     0     8       -1

      --         --     0.0147    45.1782    1000    1000   232    16     0     8       -1
      --         --     0.0155    43.0124    1000    1000   232    16     0     8       -1
      --         --     0.0138    48.2356    1000    1000   232    16     0     8       -1

      --         --     0.0149    44.6063    1000    1000   240    16     0     8       -1
      --         --     0.0146    45.7614    1000    1000   240    16     0     8       -1
      --         --     0.0143    46.6319    1000    1000   240    16     0     8       -1

      --         --     0.0168    39.6022    1000    1000   248    16     0     8       -1
      --         --     0.0140    47.6483    1000    1000   248    16     0     8       -1
      --         --     0.0173    38.5443    1000    1000   248    16     0     8       -1

      --         --     0.0142    47.0033    1000    1000   256    16     0     8       -1
      --         --     0.0142    46.8480    1000    1000   256    16     0     8       -1
      --         --     0.0140    47.5098    1000    1000   256    16     0     8       -1

      --         --     0.0157    42.4854    1000    1000   264    16     0     8       -1
      --         --     0.0126    53.0708    1000    1000   264    16     0     8       -1
      --         --     0.0152    43.8726    1000    1000   264    16     0     8       -1

      --         --     0.0137    48.5091    1000    1000   272    16     0     8       -1
      --         --     0.0162    41.2279    1000    1000   272    16     0     8       -1
      --         --     0.0171    38.9888    1000    1000   272    16     0     8       -1

      --         --     0.0162    41.2070    1000    1000   280    16     0     8       -1
      --         --     0.0144    46.4159    1000    1000   280    16     0     8       -1
      --         --     0.0167    39.8187    1000    1000   280    16     0     8       -1

      --         --     0.0140    47.5851    1000    1000   288    16     0     8       -1
      --         --     0.0143    46.5761    1000    1000   288    16     0     8       -1
      --         --     0.0144    46.4028    1000    1000   288    16     0     8       -1

      --         --     0.0162    41.0426    1000    1000   296    16     0     8       -1
      --         --     0.0174    38.3866    1000    1000   296    16     0     8       -1
      --         --     0.0152    43.8581    1000    1000   296    16     0     8       -1

      --         --     0.0158    42.2722    1000    1000   304    16     0     8       -1
      --         --     0.0167    39.8439    1000    1000   304    16     0     8       -1
      --         --     0.0148    44.8998    1000    1000   304    16     0     8       -1

      --         --     0.0165    40.3148    1000    1000   312    16     0     8       -1
      --         --     0.0157    42.3179    1000    1000   312    16     0     8       -1
      --         --     0.0178    37.4932    1000    1000   312    16     0     8       -1

      --         --     0.0154    43.2514    1000    1000   320    16     0     8       -1
      --         --     0.0167    39.8999    1000    1000   320    16     0     8       -1
      --         --     0.0194    34.3560    1000    1000   320    16     0     8       -1

      --         --     0.0182    36.5706    1000    1000   328    16     0     8       -1
      --         --     0.0199    33.5479    1000    1000   328    16     0     8       -1
      --         --     0.0180    36.9620    1000    1000   328    16     0     8       -1

      --         --     0.0167    39.8466    1000    1000   336    16     0     8       -1
      --         --     0.0164    40.6908    1000    1000   336    16     0     8       -1
      --         --     0.0163    40.8894    1000    1000   336    16     0     8       -1

      --         --     0.0171    38.8665    1000    1000   344    16     0     8       -1
      --         --     0.0153    43.5389    1000    1000   344    16     0     8       -1
      --         --     0.0165    40.3755    1000    1000   344    16     0     8       -1

      --         --     0.0155    42.9563    1000    1000   352    16     0     8       -1
      --         --     0.0192    34.7538    1000    1000   352    16     0     8       -1
      --         --     0.0198    33.6084    1000    1000   352    16     0     8       -1

      --         --     0.0169    39.4771    1000    1000   360    16     0     8       -1
      --         --     0.0167    39.8607    1000    1000   360    16     0     8       -1
      --         --     0.0159    41.8309    1000    1000   360    16     0     8       -1

      --         --     0.0153    43.4147    1000    1000   368    16     0     8       -1
      --         --     0.0168    39.6741    1000    1000   368    16     0     8       -1
      --         --     0.0183    36.3647    1000    1000   368    16     0     8       -1

      --         --     0.0148    45.0126    1000    1000   376    16     0     8       -1
      --         --     0.0166    40.1807    1000    1000   376    16     0     8       -1
      --         --     0.0191    34.9370    1000    1000   376    16     0     8       -1

      --         --     0.0146    45.6521    1000    1000   384    16     0     8       -1
      --         --     0.0193    34.5995    1000    1000   384    16     0     8       -1
      --         --     0.0162    41.2294    1000    1000   384    16     0     8       -1

      --         --     0.0188    35.3575    1000    1000   392    16     0     8       -1
      --         --     0.0175    38.0511    1000    1000   392    16     0     8       -1
      --         --     0.0184    36.2153    1000    1000   392    16     0     8       -1

      --         --     0.0166    40.0108    1000    1000   400    16     0     8       -1
      --         --     0.0170    39.1904    1000    1000   400    16     0     8       -1
      --         --     0.0165    40.3228    1000    1000   400    16     0     8       -1

      --         --     0.0159    41.8972    1000    1000   408    16     0     8       -1
      --         --     0.0172    38.6762    1000    1000   408    16     0     8       -1
      --         --     0.0163    40.8659    1000    1000   408    16     0     8       -1

      --         --     0.0190    35.0140    1000    1000   416    16     0     8       -1
      --         --     0.0193    34.5096    1000    1000   416    16     0     8       -1
      --         --     0.0175    38.0562    1000    1000   416    16     0     8       -1

      --         --     0.0195    34.1724    1000    1000   424    16     0     8       -1
      --         --     0.0180    36.9403    1000    1000   424    16     0     8       -1
      --         --     0.0181    36.7613    1000    1000   424    16     0     8       -1

      --         --     0.0161    41.3275    1000    1000   432    16     0     8       -1
      --         --     0.0186    35.8923    1000    1000   432    16     0     8       -1
      --         --     0.0176    37.7918    1000    1000   432    16     0     8       -1

      --         --     0.0225    29.6423    1000    1000   440    16     0     8       -1
      --         --     0.0179    37.2084    1000    1000   440    16     0     8       -1
      --         --     0.0187    35.5581    1000    1000   440    16     0     8       -1

      --         --     0.0188    35.4396    1000    1000   448    16     0     8       -1
      --         --     0.0182    36.5465    1000    1000   448    16     0     8       -1
      --         --     0.0219    30.4030    1000    1000   448    16     0     8       -1

      --         --     0.0203    32.8465    1000    1000   456    16     0     8       -1
      --         --     0.0213    31.2552    1000    1000   456    16     0     8       -1
      --         --     0.0192    34.6349    1000    1000   456    16     0     8       -1

      --         --     0.0223    29.8911    1000    1000   464    16     0     8       -1
      --         --     0.0193    34.5976    1000    1000   464    16     0     8       -1
      --         --     0.0209    31.8067    1000    1000   464    16     0     8       -1

      --         --     0.0202    33.0281    1000    1000   472    16     0     8       -1
      --         --     0.0200    33.3632    1000    1000   472    16     0     8       -1
      --         --     0.0204    32.6033    1000    1000   472    16     0     8       -1

      --         --     0.0195    34.2124    1000    1000   480    16     0     8       -1
      --         --     0.0209    31.8504    1000    1000   480    16     0     8       -1
      --         --     0.0187    35.6460    1000    1000   480    16     0     8       -1

      --         --     0.0215    30.9852    1000    1000   488    16     0     8       -1
      --         --     0.0187    35.6234    1000    1000   488    16     0     8       -1
      --         --     0.0214    31.0914    1000    1000   488    16     0     8       -1

      --         --     0.0228    29.1712    1000    1000   496    16     0     8       -1
      --         --     0.0232    28.7603    1000    1000   496    16     0     8       -1
      --         --     0.0206    32.3217    1000    1000   496    16     0     8       -1

      --         --     0.0209    31.8792    1000    1000   504    16     0     8       -1
      --         --     0.0197    33.8837    1000    1000   504    16     0     8       -1
      --         --     0.0212    31.4569    1000    1000   504    16     0     8       -1

      --         --     0.0374   142.7001    2000    2000   128    16     0     8       -1
      --         --     0.0345   154.6864    2000    2000   128    16     0     8       -1
      --         --     0.0328   162.7342    2000    2000   128    16     0     8       -1

      --         --     0.0332   160.5397    2000    2000   136    16     0     8       -1
      --         --     0.0310   172.0638    2000    2000   136    16     0     8       -1
      --         --     0.0329   161.8611    2000    2000   136    16     0     8       -1

      --         --     0.0313   170.5622    2000    2000   144    16     0     8       -1
      --         --     0.0324   164.6454    2000    2000   144    16     0     8       -1
      --         --     0.0310   171.7425    2000    2000   144    16     0     8       -1

      --         --     0.0357   149.1656    2000    2000   152    16     0     8       -1
      --         --     0.0335   159.1166    2000    2000   152    16     0     8       -1
      --         --     0.0336   158.8790    2000    2000   152    16     0     8       -1

      --         --     0.0315   169.2502    2000    2000   160    16     0     8       -1
      --         --     0.0333   160.2598    2000    2000   160    16     0     8       -1
      --         --     0.0335   159.3804    2000    2000   160    16     0     8       -1

      --         --     0.0346   154.0435    2000    2000   168    16     0     8       -1
      --         --     0.0319   167.0064    2000    2000   168    16     0     8       -1
      --         --     0.0364   146.3526    2000    2000   168    16     0     8       -1

      --         --     0.0371   143.8557    2000    2000   176    16     0     8       -1
      --         --     0.0339   157.0568    2000    2000   176    16     0     8       -1
      --         --     0.0322   165.5506    2000    2000   176    16     0     8       -1

      --         --     0.0367   145.1733    2000    2000   184    16     0     8       -1
      --         --     0.0361   147.8658    2000    2000   184    16     0     8       -1
      --         --     0.0395   134.9384    2000    2000   184    16     0     8       -1

      --         --     0.0390   136.7673    2000    2000   192    16     0     8       -1
