
  Status      Error       Time    Gflop/s    uplo       n    nb  padA  zerocol

      --         --     0.0310    10.7640       l    1000    64     0       -1
      --         --     0.0045    75.0053       l    1000    64     0       -1
      --         --     0.0050    66.5810       l    1000    64     0       -1

      --         --     0.0018   181.5376       l    1000    72     0       -1
      --         --     0.0017   192.6526       l    1000    72     0       -1
      --         --     0.0017   191.3102       l    1000    72     0       -1

      --         --     0.0017   196.4916       l    1000    80     0       -1
      --         --     0.0017   197.4058       l    1000    80     0       -1
      --         --     0.0018   189.3440       l    1000    80     0       -1

      --         --     0.0017   197.6566       l    1000    88     0       -1
      --         --     0.0017   198.4691       l    1000    88     0       -1
      --         --     0.0017   195.3403       l    1000    88     0       -1

      --         --     0.0017   195.4494       l    1000    96     0       -1
      --         --     0.0017   192.5202       l    1000    96     0       -1
      --         --     0.0018   189.5748       l    1000    96     0       -1

      --         --     0.0018   182.2227       l    1000   104     0       -1
      --         --     0.0018   190.1153       l    1000   104     0       -1
      --         --     0.0017   191.0752       l    1000   104     0       -1

      --         --     0.0018   183.0087       l    1000   112     0       -1
      --         --     0.0019   179.6740       l    1000   112     0       -1
      --         --     0.0019   178.0291       l    1000   112     0       -1

      --         --     0.0020   165.5082       l    1000   120     0       -1
      --         --     0.0019   174.7846       l    1000   120     0       -1
      --         --     0.0020   167.2479       l    1000   120     0       -1

      --         --     0.0024   136.6448       l    1000   128     0       -1
      --         --     0.0024   140.2162       l    1000   128     0       -1
      --         --     0.0024   140.2022       l    1000   128     0       -1

      --         --     0.0017   196.0240       l    1000   136     0       -1
      --         --     0.0017   193.1842       l    1000   136     0       -1
      --         --     0.0016   206.0632       l    1000   136     0       -1

      --         --     0.0017   190.8668       l    1000   144     0       -1
      --         --     0.0017   194.2024       l    1000   144     0       -1
      --         --     0.0018   185.2360       l    1000   144     0       -1

      --         --     0.0018   184.1398       l    1000   152     0       -1
      --         --     0.0019   178.0518       l    1000   152     0       -1
      --         --     0.0019   179.6740       l    1000   152     0       -1

      --         --     0.0019   171.8879       l    1000   160     0       -1
