M,K,N,perf_cblas,perf_batch_mkl,perf_blkintl,blocksize,ratio(batch_mkl/blkintl)
2,2,2,8.80E-01,1.77E+00,2.72E+00,64,3.09E+00
3,3,3,5.05E+00,5.02E+00,5.22E+00,40,1.03E+00
4,4,4,9.74E+00,1.09E+01,7.65E+00,40,7.85E-01
5,5,5,1.40E+01,1.36E+01,1.02E+01,128,7.34E-01
6,6,6,1.80E+01,1.85E+01,1.22E+01,32,6.76E-01
7,7,7,2.07E+01,2.08E+01,1.41E+01,64,6.83E-01
8,8,8,2.53E+01,2.54E+01,1.62E+01,64,6.40E-01
9,9,9,2.88E+01,2.95E+01,1.85E+01,40,6.42E-01
10,10,10,3.42E+01,3.40E+01,1.92E+01,32,5.60E-01
11,11,11,3.84E+01,3.84E+01,2.04E+01,40,5.31E-01
12,12,12,4.43E+01,4.39E+01,2.07E+01,32,4.67E-01
13,13,13,5.03E+01,4.91E+01,2.14E+01,24,4.25E-01
14,14,14,5.71E+01,5.63E+01,2.24E+01,24,3.92E-01
15,15,15,6.19E+01,6.12E+01,2.31E+01,24,3.73E-01
16,16,16,6.85E+01,6.72E+01,2.33E+01,24,3.40E-01
