N=M,Sec_V1,Gflop_V1,Sec_V2,Gflop_V2,Sec_QUARK,Gflop_QUARK
1000,0.0715,46.6445,0.0672,49.6076,0.063,52.91477333
2000,0.3483,76.5965,0.285,93.5942,0.24,111.1431125
3000,0.7956,113.1476,0.6006,149.8807,0.573,157.1000845
4000,1.4786,144.3072,1.0442,204.3436,1.033,206.5591356
5000,2.4486,170.1909,1.6715,249.3113,1.609,258.9955488
6000,3.4979,205.8642,2.7504,261.8148,2.423,297.1916739
7000,4.7776,239.3373,4.0487,282.4224,3.445,331.9139538
8000,6.5491,260.6185,5.6108,304.2031,4.68,364.7057166
9000,8.6074,282.3389,7.453,326.0695,6.188,392.7272113
10000,11.2194,297.1272,9.519,350.2014,7.993,417.060819
11000,14.1359,313.8797,12.3126,360.361,10.073,440.4825622
12000,17.522,328.7506,15.7897,364.8169,12.726,452.6441463
13000,21.7625,336.5312,19.4649,376.2549,15.826,462.7678506
14000,26.0407,351.264,23.5513,388.3934,19.394,471.6494525
15000,31.1831,360.7907,28.0876,400.5534,23.515,478.4428526
16000,36.8931,370.0953,33.6636,405.6002,28.145,485.1292554
17000,43.2749,378.4497,39.9606,409.8389,33.422,490.0188004
18000,50.3713,385.9502,46.7346,415.9836,39.408,493.3218421
19000,58.2631,392.431,54.0526,423,46.114,495.8201371
20000,66.9572,398.2796,62.1896,428.8126,53.554,497.9587719
