N=M,Sec_V1,Gflop_V1,Sec_V2,Gflop_V2,Sec_QUARK,Gflop_QUARK
1000,0.1007,33.1256,0.1022,32.6553,0.063,52.94837968
2000,0.3607,73.9615,0.3285,81.2145,0.24,111.157971
3000,0.8303,108.4155,0.5705,157.7955,0.573,157.0984113
4000,1.5452,138.0896,1.0247,208.2297,1.033,206.5595837
5000,2.4262,171.7646,1.5743,264.709,1.609,259.0026554
6000,3.5162,204.7942,2.2915,314.246,2.423,297.1924746
7000,5.2652,217.1738,3.2184,355.2895,3.445,331.9197364
8000,7.4629,228.7074,4.3028,396.6806,4.68,364.7052255
9000,10.0057,242.8815,5.6082,433.3308,6.188,392.7277674
10000,12.6603,263.3103,7.3392,454.2172,7.993,417.0633543
11000,15.8361,280.1806,9.3711,473.4749,10.073,440.4812866
12000,19.3691,297.3991,11.8174,487.4469,12.726,452.6444215
13000,23.6223,310.036,14.6137,501.1552,15.826,462.7678126
14000,29.0065,315.3489,17.9982,508.2274,19.394,471.6493693
15000,34.6211,324.9627,21.6938,518.6074,23.515,478.4421064
16000,40.6581,335.8238,26.1066,523.008,28.145,485.1290688
17000,47.1428,347.3994,31.0676,527.153,33.422,490.0179652
18000,54.9942,353.5068,36.6359,530.6493,39.408,493.3217535
19000,63.9307,357.6412,42.754,534.7862,46.114,495.8201905
20000,73.3374,363.6299,49.7849,535.6581,53.554,497.9585358
