N=M,Sec_V1,Gflop_V1,Sec_V2,Gflop_V2,Sec_QUARK,Gflop_QUARK
1000,0.0815,40.9281,0.0692,48.2218,0.061,54.70407475
2000,0.3666,72.7583,0.2603,102.4813,0.247,107.9995238
3000,0.8591,104.7881,0.567,158.7697,0.609,147.8200655
4000,1.8082,118.0056,1.069,199.6045,1.164,183.3137547
5000,3.1164,133.7208,1.8081,230.476,1.96,212.61411
6000,4.7222,152.4897,2.8662,251.2395,3.092,232.8921911
7000,7.0909,161.2558,4.3805,261.0349,4.67,244.852972
8000,9.9672,171.2436,6.2518,273.0133,6.762,252.4141599
9000,13.2609,183.2608,8.7679,277.1695,9.433,257.6268906
10000,17.5445,190.007,11.8566,281.1593,12.785,260.7425386
11000,22.7602,194.9445,15.6292,283.8904,16.722,265.3378687
12000,28.5858,201.511,20.2013,285.1486,21.572,267.0300581
13000,35.2959,207.4962,25.6848,285.1402,27.249,268.7720287
14000,43.4943,210.3071,32.0316,285.5662,33.855,270.18586
15000,52.5592,214.055,39.456,285.1418,41.464,271.3330808
16000,62.0721,219.9695,47.8736,285.2088,50.129,272.3767082
17000,73.6008,222.5164,57.3468,285.5851,59.967,273.1067356
18000,87.1373,223.1054,68.449,284.019,71.013,273.7641915
19000,100.5612,227.3665,80.4395,284.2413,83.446,274.0002882
20000,116.2468,229.4056,94.2187,283.0401,97.114,274.601708
