N=M,Sec_V1,Gflop_V1,Sec_V2,Gflop_V2,Sec_QUARK,Gflop_QUARK
1000,0.0605,55.1469,0.059,56.5676,0.061,54.71292459
2000,0.2461,108.4074,0.2231,119.597,0.247,108.0246587
3000,0.572,157.3812,0.5253,171.3638,0.609,147.8118295
4000,1.087,196.3038,1.0047,212.3792,1.164,183.3139023
5000,1.7972,231.8762,1.7288,241.0538,1.96,212.6192905
6000,2.8738,250.5701,2.7685,260.1028,3.092,232.8895866
7000,4.465,256.0933,4.2243,270.6874,4.67,244.8532728
8000,6.4551,264.4154,6.0836,280.5613,6.762,252.4138901
9000,9.0182,269.4768,8.5856,283.0565,9.433,257.6285261
10000,12.2801,271.4623,11.607,287.2046,12.785,260.7417906
11000,16.1965,273.9464,15.3439,289.1674,16.722,265.3364232
12000,20.9766,274.6088,19.825,290.5608,21.572,267.029847
13000,26.5134,276.2288,25.1952,290.6808,27.249,268.7717308
14000,33.068,276.6163,31.6338,289.1574,33.855,270.1860098
15000,40.6443,276.8057,38.8497,289.5918,41.464,271.3330733
16000,49.2542,277.2145,47.0526,290.1852,50.129,272.3766311
17000,59.2282,276.5134,56.538,289.6706,59.967,273.1068151
18000,70.9359,274.0617,67.4478,288.2351,71.013,273.7642879
19000,83.2476,274.6535,79.3741,288.0566,83.446,274.000352
20000,96.9318,275.1177,92.8327,287.2659,97.114,274.6016961
