N=M,Sec_V1,Gflop_V1,Sec_V2,Gflop_V2,Sec_V3,Gflop_V3
1000,0.2368,9.954125,0.2587,9.109375,0.2368,9.9525
2000,0.6195,35.8235,0.6007,36.944125,0.5844,37.970375
3000,1.2319,64.5175,1.2236,64.95425,1.2154,65.389375
4000,2.1773,89.198,2.2042,88.108875,2.1677,89.59425
5000,3.4553,111.827375,3.4141,113.174875,3.3962,113.772
6000,4.9735,135.92775,5.0073,135.008125,4.944,136.73775
7000,6.8776,157.483625,6.8132,158.972375,6.7785,159.78675
8000,9.0844,179.169625,9.0513,179.825625,8.967,181.51525
9000,11.7236,198.713,11.4723,203.066,11.415,204.0845
10000,14.4784,221.645125,14.3941,222.943,14.3204,224.0905
11000,17.5216,244.61,17.422,246.0085,17.3223,247.424125
12000,20.9786,265.999,20.9096,266.877125,20.7346,269.12975
13000,25.0182,284.276125,24.6889,288.068125,24.5304,289.9285
14000,29.8932,297.77025,28.8755,308.265125,28.6588,310.596
15000,33.913,323.41525,33.3908,328.473125,33.253,329.8345
16000,38.6327,345.09925,38.4772,346.494375,38.326,347.860875
17000,44.2892,361.571375,44.001,363.94,43.693,366.50525
18000,50.4174,377.503125,49.9939,380.7015,49.7943,382.227625
19000,57.3771,390.560875,56.9937,393.188,56.6637,395.47775
20000,64.8101,403.6895,64.3823,406.37225,63.8459,409.786
