N=M,Sec_V1,Gflop_V1,Sec_V2,Gflop_V2,Sec_V3,Gflop_V3,Sec_QUARK,Gflop_QUARK
1000,0.2799,8.421625,0.2716,8.678125,0.2787,8.458375,0.201,11.72742705
2000,0.8405,26.40275,0.6755,32.85025,0.7771,28.557375,0.581,38.19537242
3000,1.7542,45.30575,1.2878,61.715125,1.5458,51.4135,1.351,58.82705155
4000,3.1661,61.34075,2.2576,86.026625,2.7381,70.929625,2.521,77.03726639
5000,4.9788,77.608,3.5358,109.281875,4.3315,89.205625,3.841,100.5974253
6000,7.2558,93.1715,5.0687,133.374375,6.2603,107.98675,5.447,124.1112116
7000,9.9788,108.54175,6.9657,155.4935,8.5778,126.2695,7.542,143.6112987
8000,13.1276,123.987,9.1412,178.0575,11.2775,144.32775,9.771,166.5798527
9000,16.6941,139.548,11.627,200.3635,14.3842,161.95825,12.531,185.9092065
10000,20.7721,154.4895,14.5142,221.09925,17.8989,179.289125,15.783,203.3245481
11000,24.9591,171.719125,17.6354,243.031375,21.584,198.571,19.293,222.1507704
12000,29.8941,186.668375,21.0188,265.490875,25.8362,215.98725,23.027,242.336521
13000,35.3278,201.316375,24.8278,286.456125,30.5044,233.149,27.097,262.4668647
14000,41.2488,215.795625,28.9625,307.3395,35.6331,249.804625,31.483,282.7338747
15000,47.6265,230.291875,33.5154,327.252125,41.24,265.95525,36.61,299.5901662
16000,54.5434,244.4315,38.4891,346.387375,47.4173,281.16575,41.971,317.6508798
17000,62.0615,258.029875,43.9318,364.51325,53.9933,296.587,47.803,334.9940608
18000,72.0171,264.281125,50.1119,379.80475,62.0447,306.758625,54.351,350.1823372
19000,83.372,268.786125,57.085,392.559,71.4746,313.527375,61.124,366.6192791
20000,95.7409,273.2705,64.2759,407.044625,81.449,321.2215,68.754,380.532967
