
     Status       Error     Seconds      GFLOPS           M           N        PadA          NB          IB  Hous. mode      Ortho.

        ---         ---     86.0921    243.1180       20000       20000           0         256          64           f         ---
        ---         ---    113.1780    246.5736       22000       22000           0         256          64           f         ---
        ---         ---    142.3087    254.9579       24000       24000           0         256          64           f         ---
        ---         ---    183.1211    252.2188       26000       26000           0         256          64           f         ---
        ---         ---    229.5982    251.5101       28000       28000           0         256          64           f         ---
        ---         ---    284.5520    249.8306       30000       30000           0         256          64           f         ---
        ---         ---    345.6463    249.8079       32000       32000           0         256          64           f         ---
        ---         ---    417.0034    248.5361       34000       34000           0         256          64           f         ---
        ---         ---    501.6672    245.3887       36000       36000           0         256          64           f         ---
        ---         ---    594.2250    243.7837       38000       38000           0         256          64           f         ---
        ---         ---    694.9476    243.2487       40000       40000           0         256          64           f         ---

