routine,library,starpu_sched,n,gflops
zhetrf,vendor,,398,2.45485
zhetrf,vendor,,630,10.7663
zhetrf,vendor,,1000,27.62995
zhetrf,vendor,,1584,61.0431
zhetrf,vendor,,2511,91.80605
zhetrf,vendor,,3981,277.5527
zhetrf,vendor,,6309,381.27525
zhetrf,vendor,,10000,675.1111
zhetrf,vendor,,15848,902.34
zhetrf,plasma_17,,398,3.027
zhetrf,plasma_17,,630,5.28125
zhetrf,plasma_17,,1000,9.2228
zhetrf,plasma_17,,1584,15.13885
zhetrf,plasma_17,,2511,34.52365
zhetrf,plasma_17,,3981,67.01785
zhetrf,plasma_17,,6309,135.6727
zhetrf,plasma_17,,10000,259.46335
zhetrf,plasma_17,,15848,444.8407
zhetrf,plasma_2_8_0,,398,1.37275
zhetrf,plasma_2_8_0,,630,2.2205
zhetrf,plasma_2_8_0,,1000,3.72135
zhetrf,plasma_2_8_0,,1584,7.7247
zhetrf,plasma_2_8_0,,2511,15.2936
zhetrf,plasma_2_8_0,,3981,28.8003
zhetrf,plasma_2_8_0,,6309,46.8243
zhetrf,plasma_2_8_0,,10000,66.36235
zhetrf,plasma_2_8_0,,15848,80.6964
zhetrf,lapack,,398,0.99785
zhetrf,lapack,,630,1.5821
zhetrf,lapack,,1000,2.8278
zhetrf,lapack,,1584,3.60635
zhetrf,lapack,,2511,6.1073
zhetrf,lapack,,3981,9.09055
zhetrf,lapack,,6309,15.0515
zhetrf,lapack,,10000,25.00165
zhetrf,lapack,,15848,42.79085
zpotrf,vendor,,398,1.47955
zpotrf,vendor,,630,4.89925
zpotrf,vendor,,1000,19.40265
zpotrf,vendor,,1584,44.0243
zpotrf,vendor,,2511,158.3539
zpotrf,vendor,,3981,358.2176
zpotrf,vendor,,6309,563.96615
zpotrf,vendor,,10000,814.3887
zpotrf,vendor,,15848,962.35765
zpotrf,plasma_17,,398,5.8791
zpotrf,plasma_17,,630,8.5777
zpotrf,plasma_17,,1000,22.1515
zpotrf,plasma_17,,1584,45.1921
zpotrf,plasma_17,,2511,130.0333
zpotrf,plasma_17,,3981,386.3038
zpotrf,plasma_17,,6309,629.8676
zpotrf,plasma_17,,10000,826.51015
zpotrf,plasma_17,,15848,939.8434
zpotrf,plasma_2_8_0,,398,5.18735
zpotrf,plasma_2_8_0,,630,13.47955
zpotrf,plasma_2_8_0,,1000,32.0046
zpotrf,plasma_2_8_0,,1584,77.6852
zpotrf,plasma_2_8_0,,2511,185.5602
zpotrf,plasma_2_8_0,,3981,421.37465
zpotrf,plasma_2_8_0,,6309,677.8665
zpotrf,plasma_2_8_0,,10000,840.0347
zpotrf,plasma_2_8_0,,15848,912.5737
zpotrf,plasma_kstar,eager,398,3.84425
zpotrf,plasma_kstar,eager,630,13.43295
zpotrf,plasma_kstar,eager,1000,38.7585
zpotrf,plasma_kstar,eager,1584,104.00825
zpotrf,plasma_kstar,eager,2511,287.5789
zpotrf,plasma_kstar,eager,3981,562.96195
zpotrf,plasma_kstar,eager,6309,744.71975
zpotrf,plasma_kstar,eager,10000,868.93105
zpotrf,plasma_kstar,eager,15848,906.3444
zpotrf,plasma_kstar,ws,398,5.8163
zpotrf,plasma_kstar,ws,630,11.89935
zpotrf,plasma_kstar,ws,1000,31.7899
zpotrf,plasma_kstar,ws,1584,96.29005
zpotrf,plasma_kstar,ws,2511,280.3623
zpotrf,plasma_kstar,ws,3981,551.3863
zpotrf,plasma_kstar,ws,6309,721.84285
zpotrf,plasma_kstar,ws,10000,827.54685
zpotrf,plasma_kstar,ws,15848,870.9988
zpotrf,plasma_kstar,dmda,398,5.73665
zpotrf,plasma_kstar,dmda,630,12.2677
zpotrf,plasma_kstar,dmda,1000,36.3772
zpotrf,plasma_kstar,dmda,1584,88.9811
zpotrf,plasma_kstar,dmda,2511,209.4603
zpotrf,plasma_kstar,dmda,3981,455.982
zpotrf,plasma_kstar,dmda,6309,676.24945
zpotrf,plasma_kstar,dmda,10000,802.1097
zpotrf,plasma_kstar,dmda,15848,875.82005
zpotrf,lapack,,398,1.8289
zpotrf,lapack,,630,5.26705
zpotrf,lapack,,1000,16.86515
zpotrf,lapack,,1584,48.5203
zpotrf,lapack,,2511,125.3978
zpotrf,lapack,,3981,260.55975
zpotrf,lapack,,6309,465.04245
zpotrf,lapack,,10000,666.84725
zpotrf,lapack,,15848,770.21635
zgetrf,vendor,,398,2.31365
zgetrf,vendor,,630,10.70345
zgetrf,vendor,,1000,44.47735
zgetrf,vendor,,1584,89.66085
zgetrf,vendor,,2511,220.0763
zgetrf,vendor,,3981,462.06695
zgetrf,vendor,,6309,689.4923
zgetrf,vendor,,10000,925.38425
zgetrf,vendor,,15848,1019.08325
zgetrf,plasma_17,,398,3.05705
zgetrf,plasma_17,,630,7.5297
zgetrf,plasma_17,,1000,15.6287
zgetrf,plasma_17,,1584,33.7538
zgetrf,plasma_17,,2511,67.36125
zgetrf,plasma_17,,3981,126.1301
zgetrf,plasma_17,,6309,215.51925
zgetrf,plasma_17,,10000,343.98745
zgetrf,plasma_17,,15848,509.01545
zgetrf,plasma_2_8_0,,398,6.85075
zgetrf,plasma_2_8_0,,630,13.08185
zgetrf,plasma_2_8_0,,1000,28.66535
zgetrf,plasma_2_8_0,,1584,65.79555
zgetrf,plasma_2_8_0,,2511,147.9407
zgetrf,plasma_2_8_0,,3981,350.43385
zgetrf,plasma_2_8_0,,6309,671.6712
zgetrf,plasma_2_8_0,,10000,881.85025
zgetrf,plasma_2_8_0,,15848,942.56995
zgetrf,lapack,,398,1.0801
zgetrf,lapack,,630,2.6908
zgetrf,lapack,,1000,6.155
zgetrf,lapack,,1584,11.7917
zgetrf,lapack,,2511,26.6168
zgetrf,lapack,,3981,32.57195
zgetrf,lapack,,6309,77.3344
zgetrf,lapack,,10000,136.67555
zgetrf,lapack,,15848,211.1932
zgeqrf,vendor,,398,3.67215
zgeqrf,vendor,,630,24.72025
zgeqrf,vendor,,1000,93.05915
zgeqrf,vendor,,1584,223.593
zgeqrf,vendor,,2511,188.55585
zgeqrf,vendor,,3981,465.17265
zgeqrf,vendor,,6309,671.4266
zgeqrf,vendor,,10000,886.2941
zgeqrf,vendor,,15848,896.29065
zgeqrf,plasma_17,,398,6.5073
zgeqrf,plasma_17,,630,9.76495
zgeqrf,plasma_17,,1000,26.70695
zgeqrf,plasma_17,,1584,55.25455
zgeqrf,plasma_17,,2511,169.41315
zgeqrf,plasma_17,,3981,403.71015
zgeqrf,plasma_17,,6309,666.9465
zgeqrf,plasma_17,,10000,800.13345
zgeqrf,plasma_17,,15848,843.42425
zgeqrf,plasma_2_8_0,,398,9.2953
zgeqrf,plasma_2_8_0,,630,18.2083
zgeqrf,plasma_2_8_0,,1000,40.09475
zgeqrf,plasma_2_8_0,,1584,100.33435
zgeqrf,plasma_2_8_0,,2511,251.2962
zgeqrf,plasma_2_8_0,,3981,507.067
zgeqrf,plasma_2_8_0,,6309,715.5648
zgeqrf,plasma_2_8_0,,10000,798.5675
zgeqrf,plasma_2_8_0,,15848,824.5896
zgeqrf,plasma_kstar,eager,398,6.61135
zgeqrf,plasma_kstar,eager,630,15.78545
zgeqrf,plasma_kstar,eager,1000,40.2713
zgeqrf,plasma_kstar,eager,1584,107.2079
zgeqrf,plasma_kstar,eager,2511,283.9512
zgeqrf,plasma_kstar,eager,3981,570.4935
zgeqrf,plasma_kstar,eager,6309,740.56335
zgeqrf,plasma_kstar,eager,10000,807.63685
zgeqrf,plasma_kstar,eager,15848,818.29785
zgeqrf,plasma_kstar,ws,398,7.71885
zgeqrf,plasma_kstar,ws,630,14.84195
zgeqrf,plasma_kstar,ws,1000,41.72485
zgeqrf,plasma_kstar,ws,1584,110.15115
zgeqrf,plasma_kstar,ws,2511,279.0813
zgeqrf,plasma_kstar,ws,3981,548.8697
zgeqrf,plasma_kstar,ws,6309,709.30415
zgeqrf,plasma_kstar,ws,10000,772.8626
zgeqrf,plasma_kstar,ws,15848,786.822
zgeqrf,plasma_kstar,dmda,398,8.28135
zgeqrf,plasma_kstar,dmda,630,17.36465
zgeqrf,plasma_kstar,dmda,1000,35.94745
zgeqrf,plasma_kstar,dmda,1584,81.75085
zgeqrf,plasma_kstar,dmda,2511,197.717
zgeqrf,plasma_kstar,dmda,3981,395.9895
zgeqrf,plasma_kstar,dmda,6309,653.04205
zgeqrf,plasma_kstar,dmda,10000,758.90825
zgeqrf,plasma_kstar,dmda,15848,785.8702
zgeqrf,lapack,,398,1.9628
zgeqrf,lapack,,630,5.74425
zgeqrf,lapack,,1000,13.7247
zgeqrf,lapack,,1584,48.52925
zgeqrf,lapack,,2511,70.80465
zgeqrf,lapack,,3981,165.97045
zgeqrf,lapack,,6309,191.99405
zgeqrf,lapack,,10000,236.2748
zgeqrf,lapack,,15848,326.3271
chetrf,vendor,,398,2.6648
chetrf,vendor,,630,13.4973
chetrf,vendor,,1000,35.14965
chetrf,vendor,,1584,76.3275
chetrf,vendor,,2511,166.23975
chetrf,vendor,,3981,356.02725
chetrf,vendor,,6309,724.1172
chetrf,vendor,,10000,1051.07155
chetrf,vendor,,15848,1672.7397
chetrf,plasma_17,,398,3.21795
chetrf,plasma_17,,630,5.2294
chetrf,plasma_17,,1000,11.49005
chetrf,plasma_17,,1584,20.4641
chetrf,plasma_17,,2511,41.266
chetrf,plasma_17,,3981,78.85305
chetrf,plasma_17,,6309,155.736
chetrf,plasma_17,,10000,302.28835
chetrf,plasma_17,,15848,553.8798
chetrf,plasma_2_8_0,,398,1.6686
chetrf,plasma_2_8_0,,630,3.1668
chetrf,plasma_2_8_0,,1000,5.68535
chetrf,plasma_2_8_0,,1584,12.23755
chetrf,plasma_2_8_0,,2511,27.1049
chetrf,plasma_2_8_0,,3981,52.18115
chetrf,plasma_2_8_0,,6309,87.33225
chetrf,plasma_2_8_0,,10000,125.9829
chetrf,plasma_2_8_0,,15848,161.9529
chetrf,lapack,,398,1.85075
chetrf,lapack,,630,5.65805
chetrf,lapack,,1000,11.9173
chetrf,lapack,,1584,36.6206
chetrf,lapack,,2511,94.78235
chetrf,lapack,,3981,222.1963
chetrf,lapack,,6309,197.9926
chetrf,lapack,,10000,314.86725
chetrf,lapack,,15848,526.36635
cpotrf,vendor,,398,1.5068
cpotrf,vendor,,630,5.43645
cpotrf,vendor,,1000,25.60345
cpotrf,vendor,,1584,81.6627
cpotrf,vendor,,2511,173.5863
cpotrf,vendor,,3981,463.97085
cpotrf,vendor,,6309,951.7154
cpotrf,vendor,,10000,1497.59205
cpotrf,vendor,,15848,1913.3604
cpotrf,plasma_17,,398,4.50835
cpotrf,plasma_17,,630,8.6369
cpotrf,plasma_17,,1000,21.66035
cpotrf,plasma_17,,1584,63.2264
cpotrf,plasma_17,,2511,182.0973
cpotrf,plasma_17,,3981,494.2363
cpotrf,plasma_17,,6309,1124.34235
cpotrf,plasma_17,,10000,1562.8742
cpotrf,plasma_17,,15848,1902.9856
cpotrf,plasma_2_8_0,,398,4.91945
cpotrf,plasma_2_8_0,,630,14.0895
cpotrf,plasma_2_8_0,,1000,46.19465
cpotrf,plasma_2_8_0,,1584,115.47615
cpotrf,plasma_2_8_0,,2511,309.88785
cpotrf,plasma_2_8_0,,3981,670.88775
cpotrf,plasma_2_8_0,,6309,1236.53805
cpotrf,plasma_2_8_0,,10000,1608.1722
cpotrf,plasma_2_8_0,,15848,1899.68855
cpotrf,plasma_kstar,eager,398,4.52645
cpotrf,plasma_kstar,eager,630,15.00415
cpotrf,plasma_kstar,eager,1000,39.8243
cpotrf,plasma_kstar,eager,1584,138.5644
cpotrf,plasma_kstar,eager,2511,422.6379
cpotrf,plasma_kstar,eager,3981,974.7674
cpotrf,plasma_kstar,eager,6309,1442.30055
cpotrf,plasma_kstar,eager,10000,1767.17375
cpotrf,plasma_kstar,eager,15848,1923.32025
cpotrf,plasma_kstar,ws,398,5.941
cpotrf,plasma_kstar,ws,630,15.48355
cpotrf,plasma_kstar,ws,1000,36.92935
cpotrf,plasma_kstar,ws,1584,129.55695
cpotrf,plasma_kstar,ws,2511,444.24615
cpotrf,plasma_kstar,ws,3981,971.4421
cpotrf,plasma_kstar,ws,6309,1391.32095
cpotrf,plasma_kstar,ws,10000,1641.0456
