routine,library,starpu_sched,n,gflops
zhetrf,vendor,,398,1.21055
zhetrf,vendor,,630,5.194599999999999
zhetrf,vendor,,1000,8.350100000000001
zhetrf,vendor,,1584,23.043349999999997
zhetrf,vendor,,2511,41.8643
zhetrf,vendor,,3981,95.4542
zhetrf,vendor,,6309,102.014
zhetrf,vendor,,10000,142.53635
zhetrf,vendor,,15848,193.87015
zhetrf,plasma_17,,398,1.30675
zhetrf,plasma_17,,630,3.4635
zhetrf,plasma_17,,1000,6.967499999999999
zhetrf,plasma_17,,1584,11.26285
zhetrf,plasma_17,,2511,20.06375
zhetrf,plasma_17,,3981,36.33985
zhetrf,plasma_17,,6309,63.8262
zhetrf,plasma_17,,10000,103.8363
zhetrf,plasma_17,,15848,158.83965
zhetrf,plasma_2_8_0,,398,0.8711500000000001
zhetrf,plasma_2_8_0,,630,1.05765
zhetrf,plasma_2_8_0,,1000,1.5808
zhetrf,plasma_2_8_0,,1584,2.84105
zhetrf,plasma_2_8_0,,2511,5.8063
zhetrf,plasma_2_8_0,,3981,11.0023
zhetrf,plasma_2_8_0,,6309,18.5612
zhetrf,plasma_2_8_0,,10000,28.3069
zhetrf,plasma_2_8_0,,15848,27.829250000000002
zhetrf,lapack,,398,1.53055
zhetrf,lapack,,630,4.10625
zhetrf,lapack,,1000,9.736049999999999
zhetrf,lapack,,1584,21.79795
zhetrf,lapack,,2511,38.00175
zhetrf,lapack,,3981,91.4966
zhetrf,lapack,,6309,99.605
zhetrf,lapack,,10000,141.22285
zhetrf,lapack,,15848,192.8513
zpotrf,vendor,,398,0.41175
zpotrf,vendor,,630,1.74285
zpotrf,vendor,,1000,5.97255
zpotrf,vendor,,1584,19.361649999999997
zpotrf,vendor,,2511,58.984750000000005
zpotrf,vendor,,3981,130.6691
zpotrf,vendor,,6309,226.27769999999998
zpotrf,vendor,,10000,369.3062
zpotrf,vendor,,15848,698.0931
zpotrf,plasma_17,,398,1.1619000000000002
zpotrf,plasma_17,,630,4.8295
zpotrf,plasma_17,,1000,12.71455
zpotrf,plasma_17,,1584,25.67525
zpotrf,plasma_17,,2511,50.1343
zpotrf,plasma_17,,3981,92.93375
zpotrf,plasma_17,,6309,173.85944999999998
zpotrf,plasma_17,,10000,320.7281
zpotrf,plasma_17,,15848,398.1027
zpotrf,plasma_2_8_0,,398,3.6986499999999998
zpotrf,plasma_2_8_0,,630,10.39285
zpotrf,plasma_2_8_0,,1000,27.86025
zpotrf,plasma_2_8_0,,1584,64.4859
zpotrf,plasma_2_8_0,,2511,149.095
zpotrf,plasma_2_8_0,,3981,269.18264999999997
zpotrf,plasma_2_8_0,,6309,365.10974999999996
zpotrf,plasma_2_8_0,,10000,411.74649999999997
zpotrf,plasma_2_8_0,,15848,440.4193
zpotrf,plasma_kstar,eager,398,1.754
zpotrf,plasma_kstar,eager,630,5.7759
zpotrf,plasma_kstar,eager,1000,17.99925
zpotrf,plasma_kstar,eager,1584,48.877300000000005
zpotrf,plasma_kstar,eager,2511,121.93125
zpotrf,plasma_kstar,eager,3981,246.613
zpotrf,plasma_kstar,eager,6309,364.66465
zpotrf,plasma_kstar,eager,10000,406.21995
zpotrf,plasma_kstar,eager,15848,426.35695
zpotrf,plasma_kstar,ws,398,1.68715
zpotrf,plasma_kstar,ws,630,5.21415
zpotrf,plasma_kstar,ws,1000,15.339099999999998
zpotrf,plasma_kstar,ws,1584,38.4938
zpotrf,plasma_kstar,ws,2511,102.76304999999999
zpotrf,plasma_kstar,ws,3981,221.42315000000002
zpotrf,plasma_kstar,ws,6309,318.1903
zpotrf,plasma_kstar,ws,10000,364.27824999999996
zpotrf,plasma_kstar,ws,15848,398.29575
zpotrf,plasma_kstar,dmda,398,1.72335
zpotrf,plasma_kstar,dmda,630,5.54685
zpotrf,plasma_kstar,dmda,1000,16.23565
zpotrf,plasma_kstar,dmda,1584,38.944900000000004
zpotrf,plasma_kstar,dmda,2511,89.74754999999999
zpotrf,plasma_kstar,dmda,3981,181.4094
zpotrf,plasma_kstar,dmda,6309,285.98350000000005
zpotrf,plasma_kstar,dmda,10000,350.2321
zpotrf,plasma_kstar,dmda,15848,389.4139
zpotrf,lapack,,398,0.372
zpotrf,lapack,,630,1.58155
zpotrf,lapack,,1000,4.2217
zpotrf,lapack,,1584,20.600450000000002
zpotrf,lapack,,2511,54.58715
zpotrf,lapack,,3981,129.4214
zpotrf,lapack,,6309,191.5292
zpotrf,lapack,,10000,370.18555000000003
zpotrf,lapack,,15848,659.0740000000001
zgetrf,vendor,,398,1.1952
zgetrf,vendor,,630,2.5218499999999997
zgetrf,vendor,,1000,2.78705
zgetrf,vendor,,1584,11.9433
zgetrf,vendor,,2511,86.92145
zgetrf,vendor,,3981,102.33394999999999
zgetrf,vendor,,6309,248.0847
zgetrf,vendor,,10000,550.899
zgetrf,vendor,,15848,972.3543999999999
zgetrf,plasma_17,,398,1.36215
zgetrf,plasma_17,,630,4.26845
zgetrf,plasma_17,,1000,9.68845
zgetrf,plasma_17,,1584,17.591949999999997
zgetrf,plasma_17,,2511,30.427999999999997
zgetrf,plasma_17,,3981,53.470299999999995
zgetrf,plasma_17,,6309,76.49315
zgetrf,plasma_17,,10000,111.51205
zgetrf,plasma_17,,15848,163.7575
zgetrf,plasma_2_8_0,,398,6.2654
zgetrf,plasma_2_8_0,,630,13.2891
zgetrf,plasma_2_8_0,,1000,28.50265
zgetrf,plasma_2_8_0,,1584,58.5141
zgetrf,plasma_2_8_0,,2511,118.36035
zgetrf,plasma_2_8_0,,3981,238.37865
zgetrf,plasma_2_8_0,,6309,442.94079999999997
zgetrf,plasma_2_8_0,,10000,585.4490499999999
zgetrf,plasma_2_8_0,,15848,525.0423499999999
zgetrf,lapack,,398,0.85805
zgetrf,lapack,,630,2.8372
zgetrf,lapack,,1000,3.4697999999999998
zgetrf,lapack,,1584,11.0114
zgetrf,lapack,,2511,37.7959
zgetrf,lapack,,3981,113.57730000000001
zgetrf,lapack,,6309,225.89925
zgetrf,lapack,,10000,588.2398000000001
zgetrf,lapack,,15848,1013.12375
zgeqrf,vendor,,398,1.22515
zgeqrf,vendor,,630,3.1874000000000002
zgeqrf,vendor,,1000,8.30315
zgeqrf,vendor,,1584,37.518100000000004
zgeqrf,vendor,,2511,79.4639
zgeqrf,vendor,,3981,121.85175000000001
zgeqrf,vendor,,6309,258.93165
zgeqrf,vendor,,10000,528.49945
zgeqrf,vendor,,15848,743.73035
zgeqrf,plasma_17,,398,1.9727999999999999
zgeqrf,plasma_17,,630,6.2372499999999995
zgeqrf,plasma_17,,1000,15.6015
zgeqrf,plasma_17,,1584,37.5336
zgeqrf,plasma_17,,2511,64.88605
zgeqrf,plasma_17,,3981,163.05579999999998
zgeqrf,plasma_17,,6309,309.66215
zgeqrf,plasma_17,,10000,388.16705
zgeqrf,plasma_17,,15848,406.60249999999996
zgeqrf,plasma_2_8_0,,398,6.6383
zgeqrf,plasma_2_8_0,,630,14.6081
zgeqrf,plasma_2_8_0,,1000,33.930800000000005
zgeqrf,plasma_2_8_0,,1584,74.01005
zgeqrf,plasma_2_8_0,,2511,173.6165
zgeqrf,plasma_2_8_0,,3981,305.3763
zgeqrf,plasma_2_8_0,,6309,375.86585
zgeqrf,plasma_2_8_0,,10000,404.53645
zgeqrf,plasma_2_8_0,,15848,420.6449
zgeqrf,plasma_kstar,eager,398,4.0323
zgeqrf,plasma_kstar,eager,630,10.184000000000001
zgeqrf,plasma_kstar,eager,1000,25.3627
zgeqrf,plasma_kstar,eager,1584,60.587199999999996
zgeqrf,plasma_kstar,eager,2511,140.3101
zgeqrf,plasma_kstar,eager,3981,278.23185
zgeqrf,plasma_kstar,eager,6309,374.08029999999997
zgeqrf,plasma_kstar,eager,10000,413.57124999999996
zgeqrf,plasma_kstar,eager,15848,420.13824999999997
zgeqrf,plasma_kstar,ws,398,3.7634
zgeqrf,plasma_kstar,ws,630,9.33745
zgeqrf,plasma_kstar,ws,1000,23.3811
zgeqrf,plasma_kstar,ws,1584,55.58655
zgeqrf,plasma_kstar,ws,2511,136.57875
zgeqrf,plasma_kstar,ws,3981,273.28245000000004
zgeqrf,plasma_kstar,ws,6309,357.41325
zgeqrf,plasma_kstar,ws,10000,383.6617
zgeqrf,plasma_kstar,ws,15848,395.94079999999997
zgeqrf,plasma_kstar,dmda,398,3.9972000000000003
zgeqrf,plasma_kstar,dmda,630,9.381350000000001
zgeqrf,plasma_kstar,dmda,1000,17.41055
zgeqrf,plasma_kstar,dmda,1584,37.8514
zgeqrf,plasma_kstar,dmda,2511,81.83605
zgeqrf,plasma_kstar,dmda,3981,196.37045
zgeqrf,plasma_kstar,dmda,6309,311.81605
zgeqrf,plasma_kstar,dmda,10000,372.9361
zgeqrf,plasma_kstar,dmda,15848,396.6879
zgeqrf,lapack,,398,1.6678000000000002
zgeqrf,lapack,,630,4.4363
zgeqrf,lapack,,1000,12.69445
zgeqrf,lapack,,1584,50.557599999999994
zgeqrf,lapack,,2511,85.2507
zgeqrf,lapack,,3981,135.10475
zgeqrf,lapack,,6309,283.91665
zgeqrf,lapack,,10000,498.8474
zgeqrf,lapack,,15848,750.9466
chetrf,vendor,,398,1.0979999999999999
chetrf,vendor,,630,4.84335
chetrf,vendor,,1000,9.47665
chetrf,vendor,,1584,28.65415
chetrf,vendor,,2511,50.0621
chetrf,vendor,,3981,120.98205
chetrf,vendor,,6309,299.56215
chetrf,vendor,,10000,360.14975000000004
